UNITID,SAT_AVG,C100_4,PCIP52,PCIP24,PCIP50,PCIP11,PCIP47,PCIP39,PCIP43,PCIP15,PCIP13,PCIP09,PCIP51,PCIP12,FAMINC,WDRAW_ORIG_YR4_RT
161572,NULL,0.4615,0,0.0174,0.0087,0,0,0,0,0.0174,0,0.0348,0.0261,0,74330.17281,0.173652695
161581,NULL,NULL,0.0573,0.0191,0,0,0.3631,0,0,0,0.051,0,0.1465,0.0318,27487.301,0.303191489
161615,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,38780.43333,PrivacySuppressed
161651,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,15165.30952,PrivacySuppressed
161688,NULL,NULL,0.1018,0.1871,0,0.0055,0.011,0,0.0303,0.0688,0.022,0,0.5254,0.0206,41070.86954,0.29373849
161767,NULL,NULL,0.2438,0.3064,0.0073,0.143,0,0,0.0243,0.0336,0.0186,0,0.1544,0.001,38190.58312,0.344294548
161776,NULL,NULL,0,0,0,0.1111,0,0,0.2071,0,0,0,0.6818,0,16971.02601,0.199376947
161800,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,18538.36322,0.352459016
161855,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,10689.89565,0.301204819
161864,NULL,NULL,0.0882,0.239,0.0221,0.1268,0,0,0.0165,0.0239,0.0055,0,0.3971,0,14358.26931,0.267505901
161873,972,0.0977,0.343,0,0.0152,0.0263,0,0,0.1577,0,0,0.0387,0.0941,0,40492.9372,0.321388578
162007,883,0.1118,0.1673,0,0.0487,0.0449,0,0,0.0749,0,0.0487,0,0.1074,0,50794.44067,0.364217252
162061,1023,0.1515,0.1075,0,0,0.3226,0,0,0,0.1183,0,0,0,0,59719.6359,0.255319149
162104,NULL,NULL,0.1986,0.3373,0.1818,0.0048,0,0,0.0191,0,0.0335,0,0.1603,0,38874.42958,0.291390729
162122,NULL,NULL,0.1495,0.558,0.0021,0.0532,0,0,0.0378,0.0282,0.0202,0.0053,0.1043,0,43919.26838,0.317444219
162168,NULL,NULL,0.0863,0.4226,0,0.0149,0,0,0.0357,0.006,0.0446,0,0.3393,0,22022.03057,0.281710915
162210,821,0.15,0.1157,0.1204,0.0093,0.037,0,0.0278,0,0,0.1481,0.0046,0.2963,0,45238,0.231292517
162283,888,0.0536,0.0986,0.0409,0.0048,0.0096,0,0,0.149,0,0.0625,0,0.2548,0,31518.48033,0.301762115
162335,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,23130.49275,PrivacySuppressed
162371,NULL,NULL,0,0,0,0,0.4232,0,0,0,0,0,0,0,19868.71628,0.235404896
162557,NULL,NULL,0.1815,0.4667,0.0037,0.0213,0.0009,0,0.0333,0.0056,0.0213,0,0.1713,0.0167,42557.30531,0.29537037
162584,955,0.2111,0.134,0.0709,0.0427,0.0515,0,0,0.0534,0,0.0883,0.0466,0.099,0,67962.84329,0.133027523
162609,NULL,NULL,0.243,0.4486,0,0,0,0,0.0093,0,0.0841,0,0,0,36458.00385,0.318181818
162654,NULL,0.5704,0.0793,0,0.1034,0.0069,0,0,0,0,0.0241,0.0724,0,0,99142.68551,0.103571429
